Entity,Code,Year,crop(tonnes per hectare)
Bekasi,BKS,1992,3.9873
Bekasi,BKS,1993,4.0
Bekasi,BKS,1994,4.0
Bekasi,BKS,1995,4.0
Bekasi,BKS,1996,4.0
Bekasi,BKS,1997,4.0136
Bekasi,BKS,1998,3.8641
Bekasi,BKS,1999,4.6068
Bekasi,BKS,2000,2.2702
Bekasi,BKS,2001,3.8523
Bekasi,BKS,2002,4.5444
Bekasi,BKS,2003,2.7901
Bekasi,BKS,2004,5.1317
Bekasi,BKS,2005,5.1132
Bekasi,BKS,2006,5.0644
Bekasi,BKS,2007,3.2181
Bekasi,BKS,2008,4.9169
Bekasi,BKS,2009,5.1032
Bekasi,BKS,2010,4.5211
Bekasi,BKS,2011,3.8992
Bekasi,BKS,2012,2.7451
Bekasi,BKS,2013,4.2125
Bekasi,BKS,2014,4.7043
Bekasi,BKS,2015,3.7301
Bekasi,BKS,2016,3.468
Bekasi,BKS,2017,3.1525
Bekasi,BKS,2018,2.7796
Bekasi,BKS,2019,2.3454
Bekasi,BKS,2020,1.846
